epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,325.093,1.35979,1.79253,1.73858,0.92185,0.17909,0.4185,0.15006,0.08959,0.15616,0.3304,0.11589,0.05137,1.40469,2.08538,1.79595,0.96378,0.0003962,0.0003962,0.0003962
83,329.1,1.22441,1.78939,1.68946,0.89448,0.16287,0.43612,0.14447,0.085,0.13821,0.34361,0.10912,0.04744,1.4242,2.04077,1.8332,0.9661,0.0003764,0.0003764,0.0003764
84,333.05,1.33192,1.68394,1.60551,0.90934,0.17497,0.42291,0.15123,0.08827,0.14131,0.32159,0.10965,0.05057,1.40009,2.02181,1.93574,0.96339,0.0003566,0.0003566,0.0003566
85,336.933,1.22734,1.65347,1.78487,0.88221,0.17118,0.40488,0.15207,0.08856,0.13783,0.32599,0.11243,0.0508,1.41258,2.04584,2.01926,0.96976,0.0003368,0.0003368,0.0003368
86,340.826,1.26656,1.59264,1.81284,0.90172,0.19302,0.38767,0.16072,0.09425,0.1584,0.29075,0.12161,0.05492,1.41974,2.11952,1.9573,0.9693,0.000317,0.000317,0.000317
87,344.76,1.26887,1.47733,1.95313,0.87552,0.19498,0.36564,0.15238,0.08984,0.17371,0.27753,0.12075,0.05539,1.43374,2.14505,1.88354,0.9734,0.0002972,0.0002972,0.0002972
88,348.682,1.29286,1.66667,1.67595,0.90474,0.18208,0.44493,0.15333,0.0907,0.15511,0.32599,0.11399,0.05284,1.45519,2.10808,1.87379,1.00004,0.0002774,0.0002774,0.0002774
89,352.581,1.23722,1.78687,1.55275,0.92284,0.17941,0.46256,0.15573,0.09383,0.17483,0.35242,0.12502,0.05745,1.41703,2.13278,1.80757,0.9988,0.0002576,0.0002576,0.0002576
90,356.499,1.27505,1.67116,1.56335,0.91073,0.18888,0.44934,0.16327,0.09934,0.18334,0.35209,0.13333,0.06202,1.37614,2.17272,1.7634,0.98058,0.0002378,0.0002378,0.0002378
91,361.038,1.26081,1.47611,3.94678,0.88416,0.206,0.44916,0.16438,0.09959,0.17992,0.37445,0.13554,0.0643,1.38165,2.16399,1.76285,0.97591,0.000218,0.000218,0.000218
92,364.992,1.38754,1.6769,1.72801,0.90396,0.19424,0.45815,0.1625,0.09992,0.16949,0.37004,0.12885,0.06046,1.39131,2.13974,1.78117,0.97453,0.0001982,0.0001982,0.0001982
93,368.826,1.22509,1.50998,1.55429,0.87951,0.17506,0.45815,0.15766,0.09707,0.15063,0.35683,0.1242,0.05668,1.39992,2.13326,1.81257,0.98006,0.0001784,0.0001784,0.0001784
94,372.759,1.26634,1.28462,1.90638,0.85711,0.16374,0.46696,0.15374,0.09323,0.155,0.31278,0.1203,0.05368,1.40277,2.14325,1.84478,0.98364,0.0001586,0.0001586,0.0001586
95,376.597,0.94692,1.27918,6.02412,0.70717,0.16255,0.42839,0.14873,0.08593,0.13776,0.33921,0.11131,0.04523,1.42356,2.16948,1.8924,0.99757,0.0001388,0.0001388,0.0001388
96,380.496,1.28562,1.72458,1.82169,0.8939,0.16588,0.37004,0.14063,0.08102,0.13226,0.28194,0.1061,0.04084,1.44465,2.18169,2.01194,0.99232,0.000119,0.000119,0.000119
97,384.316,0.74617,0.93336,11.984,0.53098,0.16093,0.37004,0.13717,0.08037,0.13452,0.27313,0.10511,0.03954,1.44033,2.1845,2.01645,0.98884,9.92e-05,9.92e-05,9.92e-05
98,388.409,0.92881,1.05713,4.13155,0.7098,0.14574,0.42731,0.13909,0.07994,0.1318,0.26872,0.10162,0.03992,1.43898,2.18814,2.0516,0.989,7.94e-05,7.94e-05,7.94e-05
99,392.281,1.2747,1.54633,1.83299,0.88781,0.13219,0.51101,0.13849,0.08036,0.11247,0.3304,0.10025,0.04033,1.43919,2.18209,2.09997,0.98682,5.96e-05,5.96e-05,5.96e-05
100,396.176,1.16162,1.46006,1.98352,0.88333,0.11326,0.54185,0.13945,0.08251,0.09024,0.43172,0.09921,0.0406,1.4214,2.17925,2.14774,0.98857,3.98e-05,3.98e-05,3.98e-05
